,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,glean_parser,f11c8db3470612ab0612c716f56e84599302d225,reserved -> allow_reserved,Michael Droettboom,2019-01-23T19:16:47Z,mdboom,mdboom,20,10,10
1,glean_parser,dc3686f95fb09f70480d40098fed2597840d98f0,"1522160: Enforce the `glean` category as a reserved word.

Add a `--reserved` command line argument so we can override the enforcement.",Michael Droettboom,2019-01-23T18:18:03Z,mdboom,mdboom,87,76,11
2,glean_parser,afbbfa1e1e2de86f5e4f8d9040f063f62aaca6f5,"Merge pull request #25 from mdboom/clean-output-directory

Fix 1516538: Clean out old files when generating source",Michael Droettboom,2019-01-07T18:06:37Z,mdboom,mdboom,51,45,6
3,glean_parser,48e6f5a177fb88f6005dcee242a12d3228e41f9f,Fix 1516538: Clean out old files when generating source,Michael Droettboom,2019-01-07T16:48:56Z,mdboom,mdboom,51,45,6
4,glean_parser,fcaba7f22449f369960d419d0a25219462e4603b,Bump version: 0.10.0 → 0.10.1,Michael Droettboom,2018-12-18T17:26:04Z,mdboom,mdboom,6,3,3
5,glean_parser,cf945269162c63f70cd9ecaf5a76c0d8996e7ab7,"Merge pull request #24 from mdboom/docs

1513617: Turn metrics.yaml schema into formal docs",Michael Droettboom,2018-12-18T17:25:29Z,mdboom,mdboom,286,217,69
6,glean_parser,98d06ed111ce143148475260e2e21a036134552e,1513617: Turn metrics.yaml schema into formal docs,Michael Droettboom,2018-12-14T19:20:05Z,mdboom,mdboom,286,217,69
7,glean_parser,058758d4a25c6c909087d10d0951b6a21d0835ba,Bump version: 0.9.0 → 0.10.0,Michael Droettboom,2018-12-13T18:04:55Z,mdboom,mdboom,6,3,3
8,glean_parser,60eda0de470354e4c838dae628ebe371026d1aae,"Add a TimeUnit enum for time based metrics (#22)

Timespan and TimingDistribution both require a
time_unit parameter, which is an enum users can
pick the resolution from. This adds validation for
the possible values and enforces the correct code
generation.",Alessio Placitelli,2018-12-13T17:00:39Z,Dexterp37,Dexterp37,45,43,2
9,glean_parser,c1cfba09ceee4424fa2af3fa5ee046f6786f445e,Bump version: 0.8.0 → 0.9.0,Michael Droettboom,2018-11-27T14:48:49Z,mdboom,mdboom,6,3,3
10,glean_parser,e644c5f9ecf47fb5f391d4fee84287342a65df66,"Merge pull request #21 from mdboom/locked-in-metrics-yaml

1507743: Support namespace in output. Support default category.",Michael Droettboom,2018-11-27T14:48:22Z,mdboom,mdboom,88,76,12
11,glean_parser,8d4f38c0e60acb718427c4dbda7268ca7652166b,Add comment about glean.internal.metrics,Michael Droettboom,2018-11-27T14:46:03Z,mdboom,mdboom,2,2,0
12,glean_parser,221b11f706a4673fc3d55155bbcc5ef7e7207716,1507743: Support namespace in output. Support default category.,Michael Droettboom,2018-11-27T14:34:14Z,mdboom,mdboom,86,74,12
13,glean_parser,5ec366c9f5024a745139779f3eeb3ffd40fd4603,"Merge pull request #20 from mdboom/detekt-fixes

1509782: Make generated code ktlint and detekt-compliant",Michael Droettboom,2018-11-26T21:27:22Z,mdboom,mdboom,5,4,1
14,glean_parser,e288d9519f2bcfa9f7ece7e659d7f4af924b1841,Bump version: 0.7.0 → 0.8.0,Michael Droettboom,2018-11-26T19:56:03Z,mdboom,mdboom,6,3,3
15,glean_parser,85490332b3212f8ff4c76af3b5b3e3a15eb2069f,"Merge pull request #18 from mdboom/dots-in-categories

1507788: Support . in category names",Michael Droettboom,2018-11-26T15:08:51Z,mdboom,mdboom,68,53,15
