,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-runner,9eec6f00d540c334de753d213028f75886fc869d,More robust,Ian Connolly,2014-07-29T20:42:33Z,IanConnolly,IanConnolly,2,1,1
1,build-runner,795e9c54d5d5e44ce834df0c2f254a5a42d55cc4,Add task-specific config,Ian Connolly,2014-07-29T20:38:24Z,IanConnolly,IanConnolly,45,35,10
2,build-runner,e9c3555ebb3ad2f00febf16c0bdc5f3d750a15f6,We did this :sparkles: :cake: :sparkles:,Ian Connolly,2014-07-29T17:57:46Z,IanConnolly,IanConnolly,1,0,1
3,build-runner,700723bdec7dd8aca61bcbcae2e6ece76e0f4769,"Gradually recycle AMIs

Eliminates ""mass suicides"" after publishing new AMIs by distributing
instances terminations during AMI TTL.",Rail Aliiev,2014-07-08T16:26:56Z,Rail Aliiev,Rail Aliiev,12,9,3
4,build-runner,121c3948a3ddf1375652844c1f58ba93ac4b1ebe,"Merge pull request #5 from rail/sorting

Use AMI ID as a second key to sort AMIs.",Chris AtLee,2014-06-25T17:29:48Z,catlee,catlee,4,2,2
5,build-runner,5ec928a5021d6ed8740f7f980a41ffed0c30caf7,"Use AMI ID as a second key to sort AMIs.

Using AMI ID as a second sorting key wil preserve the sorting.",Rail Aliiev,2014-06-23T19:37:40Z,Rail Aliiev,Rail Aliiev,4,2,2
6,build-runner,027d8df6e53bf32b771f97e34fac53d3a4d395d4,fix up logging of iterations when we're about to quit,Chris AtLee,2014-05-14T19:27:09Z,Chris AtLee,Chris AtLee,2,1,1
7,build-runner,9ee6bac3f04c9d75c46383141c95abcce446ca33,Properly include files in config_dir,Chris AtLee,2014-05-14T18:53:57Z,Chris AtLee,Chris AtLee,3,2,1
8,build-runner,c82d36371a66e3f2e4f566be94860974e5a0a9ce,updated TODOs,Chris AtLee,2014-05-14T17:17:08Z,Chris AtLee,Chris AtLee,15,9,6
9,build-runner,74df5b6cdd6187a31c498aaa93e51051d671fd1d,"Merge pull request #4 from rail/check_ami

Check AMI",Chris AtLee,2014-05-06T22:09:44Z,catlee,catlee,94,94,0
10,build-runner,8853d05465017bc95043c9d180e0d7a6f245f63d,Address the comments,Rail Aliiev,2014-05-06T22:08:44Z,Rail Aliiev,Rail Aliiev,6,3,3
11,build-runner,d7df4a9f4da23b9cb2edd05191f600737791f038,Use more idiomatic way,Rail Aliiev,2014-05-06T21:54:29Z,Rail Aliiev,Rail Aliiev,2,1,1
12,build-runner,ddf9cfc5929101aee0db20eb33bb548b8cd34bc2,Initial implementation of check_ami.py,Rail Aliiev,2014-05-06T21:50:19Z,Rail Aliiev,Rail Aliiev,94,94,0
13,build-runner,253ee10c009ba7398381bee9e6f1a120e5fc46d5,"Merge pull request #3 from rail/debian

Add Debian packaging",Chris AtLee,2014-05-01T23:38:27Z,catlee,catlee,26,26,0
14,build-runner,8ef467556e76b103a86738cd20d2ba0dc716a8a3,Add Debian packaging,Rail Aliiev,2014-05-01T23:37:07Z,Rail Aliiev,Rail Aliiev,26,26,0
15,build-runner,c2f6f56f252d75e1dbdcd671093db093188ac33c,"Merge pull request #2 from rail/spec

Add RPM spec",Chris AtLee,2014-05-01T23:34:43Z,catlee,catlee,36,36,0
16,build-runner,3a1e6cb69602375b9ffc331f0f86039f7a3df74c,Add RPM spec,Rail Aliiev,2014-05-01T23:28:57Z,Rail Aliiev,Rail Aliiev,36,36,0
17,build-runner,ed3233ca1d1bd352f4180657be0886647840cecd,rename tasks as examples,Chris AtLee,2014-05-01T23:18:30Z,Chris AtLee,Chris AtLee,0,0,0
18,build-runner,801fd79b48b33e4d834302e0b1479b64c779c69a,setup.py,Chris AtLee,2014-05-01T23:15:34Z,Chris AtLee,Chris AtLee,21,21,0
19,build-runner,7b68b7582c5fc65c3f8a0fe1a3140558f9f33cf2,Use naturally_sorted,Chris AtLee,2014-05-01T23:02:56Z,Chris AtLee,Chris AtLee,2,1,1
20,build-runner,dd7a17535fc7535fd64f12ad33673d5a5a4ee25b,"Merge branch 'master' of github.com:catlee/runner

Conflicts:
	runner.cfg",Chris AtLee,2014-05-01T23:00:58Z,Chris AtLee,Chris AtLee,17,14,3
21,build-runner,d7aa6defeb5ea741025ec7cb7331df1590938e5c,tests!,Chris AtLee,2014-05-01T23:00:28Z,Chris AtLee,Chris AtLee,36,33,3
22,build-runner,233e7d7fcf5f9a0fa90f33a28eaa26c81f0e6f35,"Merge pull request #1 from rail/config.d

Add support for config.d",Chris AtLee,2014-05-01T22:59:54Z,catlee,catlee,17,14,3
23,build-runner,e9b578f90a2ece0fd529af621bfccb3f8745262c,Add support for config.d,Rail Aliiev,2014-05-01T22:48:31Z,Rail Aliiev,Rail Aliiev,17,14,3
24,build-runner,9e8155f3d43334bb256ab1725b2e058cf44cbd34,implement max_time,Chris AtLee,2014-05-01T22:41:22Z,Chris AtLee,Chris AtLee,63,45,18
25,build-runner,c53f090c4cb8bc4f3596d97eb6005856661b327e,Update README,Chris AtLee,2014-05-01T22:26:12Z,Chris AtLee,Chris AtLee,81,46,35
26,build-runner,4e5c9fa955b0a9e613e4f16d6c69cc537be284e9,added support for config files,Chris AtLee,2014-04-09T14:22:28Z,Chris AtLee,Chris AtLee,159,145,14
27,build-runner,cc8bac7dc905b717cd9968ffb9a20db11dee3f16,initial work,Chris AtLee,2014-04-08T23:44:16Z,Chris AtLee,Chris AtLee,175,175,0
28,build-runner,930a4d5c13979cdc921bbd629b08a21943b9bc8b,"Merge pull request #30 from mozilla/mrrrgn-patch-1

Update and rename .taskclusterrc to .taskcluster.yml",Morgan Phillips,2015-10-28T21:13:56Z,usize,usize,38,28,10
29,build-runner,27fc2f503905b832e5386304d2d3a861e95cdc0a,Update and rename .taskclusterrc to .taskcluster.yml,Morgan Phillips,2015-10-17T02:00:53Z,usize,usize,38,28,10
30,build-runner,cd25cbe01b167bbda0a3f85e1ce3839d49266898,"Merge pull request #29 from mrrrgn/Tests

Deprecate hook tests",Morgan Phillips,2015-08-26T19:40:41Z,usize,usize,44,0,44
31,build-runner,8ab37bd5ae0fc481f47df4e2446b166479695dfc,Deprecate hook tests,Morgan Phillips,2015-08-26T19:36:08Z,usize,usize,44,0,44
32,build-runner,b124144f8319ecea67941fd06e277d26c7f5e228,Add taskclusterrc,Morgan Phillips,2015-08-26T19:07:16Z,usize,usize,12,12,0
33,build-runner,353c87f09419557f79a5f8e9fb2dc8da57fe6484,Bump version,Morgan Phillips,2015-03-25T14:37:49Z,usize,usize,2,1,1
34,build-runner,1a08ece758bf2edda9e056f7132415f677935d99,"Merge pull request #27 from mrrrgn/logging

Add the ability to output to syslog.",Morgan Phillips,2015-03-25T14:54:42Z,usize,usize,28,23,5
35,build-runner,bebd602fcb3d158108e388a25147e360cb6a274d,Ensure that the syslog argument is only checked for on supported platforms.,Morgan Phillips,2015-03-25T06:06:56Z,usize,usize,2,1,1
36,build-runner,2f7b93107ae1cec6b8f5147f75ee0e4cdd99b4b4,Remove superflous argparse destionation settings,Morgan Phillips,2015-03-24T21:10:18Z,usize,usize,6,3,3
37,build-runner,33d3f8bf9a89c000084c2521fcab5de5ecf60545,Simplify runner syslog setting (only allow writing to the local syslog),Morgan Phillips,2015-03-24T21:06:40Z,usize,usize,10,4,6
38,build-runner,4a29403fd49b029402b605b3548cfe159ec085c2,Improve comment grammar,Morgan Phillips,2015-03-24T20:27:23Z,usize,usize,4,2,2
39,build-runner,80dea9b5fc14d908fc4ce02b8a9e3c144e14a05d,Add the ability to output to syslog.,Morgan Phillips,2015-03-24T20:11:56Z,usize,usize,24,22,2
40,build-runner,531a0f24297d049ee177340f1631025e420e302d,Remove argparse dependency (not necessary),Morgan Phillips,2015-03-18T19:53:18Z,usize,usize,1,0,1
41,build-runner,911e8df0b58f6c642fc240e042d830b26cb704f9,Remove specific argparse version (not necessary); a=bustage,Morgan Phillips,2015-03-18T19:26:12Z,usize,usize,2,1,1
42,build-runner,cbce44db91d88f334175fdf80be9b03710c2ca7a,Bump version,Morgan Phillips,2015-03-18T18:05:42Z,usize,usize,2,1,1
43,build-runner,5017ea421afdfef2413961d5af22b502ed8453fe,"Merge pull request #25 from mrrrgn/backoff

Bug 1144445 - Add jitter to runner retries",Morgan Phillips,2015-03-18T18:03:34Z,usize,usize,20,16,4
44,build-runner,91bae4e77aec36f9757172053167d29830155bf6,"Add a clarifying comment, to safe future devs some potential research.",Morgan Phillips,2015-03-18T18:00:57Z,usize,usize,3,2,1
45,build-runner,c65da1378d14060ba2ffa623449961cbc4ff02af,"Bug 1144445 - Add jitter to runner retries

If large numbers of machines use runner, and begin retrying, this decreases their chances
of sychronizing and doing bad things (like DDoS services).",Morgan Phillips,2015-03-18T17:45:42Z,usize,usize,19,15,4
46,build-runner,9cf64eeb2d23fcd15ada200a19883c23be49956d,"Merge pull request #24 from mrrrgn/26-support

26 support",Morgan Phillips,2015-02-02T05:49:27Z,usize,usize,32,19,13
47,build-runner,1c9d890d05b6b2e60a8840139f3e49327e379505,Add 2.6 coverage to travis,Morgan Phillips,2015-02-02T05:46:38Z,usize,usize,1,1,0
48,build-runner,1c340a052baea98fea5ab08a750353cd8d86c313,Remove '{}'.format pattern in favor of '%s' % s for python 2.6 support.,Morgan Phillips,2015-02-02T05:02:10Z,usize,usize,14,7,7
49,build-runner,e38639e8a34379b34497bbf4a0ed43df440866ed,Remove dict/set comprehensions and explicitly require argparse. These features were not available in < 2.7.5 versions of python.,Morgan Phillips,2015-02-02T04:49:32Z,usize,usize,17,11,6
50,build-runner,d898f6297017ce1529f95779907e701907414724,Ignore the .eggs directory.,Morgan Phillips,2015-02-02T04:29:37Z,usize,usize,1,1,0
51,build-runner,7e1781a9249f983f83ef3ddabd29cfbc7fc0e15d,Bump version,Morgan Phillips,2014-12-31T22:14:48Z,usize,usize,2,1,1
