,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,kenlm,a0ab5992186ed284c9af3046117fb7e8928ad19b,"Add some error checking to lm::base::Vocabulary and allow SALM to return words.



git-svn-id: file:///dev/shm/somefilter.svn@72 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-08T05:46:31Z,kpu,kpu,62,50,12
1,kenlm,daa55f2fbd02d7e5ca09f6c926887c514cf80d92,"Make only one copy of kEndPieceIterator


git-svn-id: file:///dev/shm/somefilter.svn@71 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-07T18:04:36Z,kpu,kpu,7,6,1
2,kenlm,a884e7e421d2b32298713bf9bf667c42921b1a02,"Add documentation for tokenize_piece.


git-svn-id: file:///dev/shm/somefilter.svn@70 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-03T22:52:05Z,kpu,kpu,9,9,0
3,kenlm,cb7c3c5b39995a5ef33283b9f2eff8256c8bfe40,"Remove extra explicit


git-svn-id: file:///dev/shm/somefilter.svn@69 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-03T22:49:27Z,kpu,kpu,2,1,1
4,kenlm,a7a3cec543038ef023cf023f29ba72199300c8bf,"Make it harder to use delimiter by accident.


git-svn-id: file:///dev/shm/somefilter.svn@68 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-03T22:48:46Z,kpu,kpu,4,2,2
5,kenlm,8f42bb1dfc028bbe1347d2711b4c2f26bfc2d9c9,"Also test internal nulls.


git-svn-id: file:///dev/shm/somefilter.svn@67 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-03T22:44:46Z,kpu,kpu,19,17,2
6,kenlm,0166da7756075afb5e6f73842154a1f95c02e7d7,"Add simple copy-free tokenization for StringPiece.


git-svn-id: file:///dev/shm/somefilter.svn@66 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-03-03T22:39:42Z,kpu,kpu,135,135,0
7,kenlm,e2cc2222806ba9d9796ce20d97211c905f64215b,"Don't set defaults when partial config updates are specified.


git-svn-id: file:///dev/shm/somefilter.svn@65 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-02-26T06:34:49Z,kpu,kpu,32,21,11
8,kenlm,5e5828bc19621954e09e8dc9e78c14c36ffa9355,"Do not require confidence to be specified in initial config


git-svn-id: file:///dev/shm/somefilter.svn@64 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-02-26T05:38:37Z,kpu,kpu,2,1,1
9,kenlm,fe42c3ddc40a0cd91e70ebedfa9de4c4c5daf30d,"Avoid duplicate error messages for headers and remove unnecessary virtual


git-svn-id: file:///dev/shm/somefilter.svn@63 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-02-25T20:01:40Z,kpu,kpu,5,2,3
10,kenlm,a37129b32629dc18739b729169363655f68b66a4,"Fix Server error messages


git-svn-id: file:///dev/shm/somefilter.svn@62 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-02-25T19:44:57Z,kpu,kpu,5,3,2
11,kenlm,98c89ed9b724d60244cd848cca296a3a47d3c125,"Notify on connection close.


git-svn-id: file:///dev/shm/somefilter.svn@61 e102df66-1e2e-11dd-9b44-c24451a4db5e",kpu,2009-02-25T19:11:01Z,kpu,kpu,1,1,0
