,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/dryice/pulls/33,33,Support Simplified CommonJS Wrappers,"Add explicit support for CJS Wrappers which look like the following:

```
define(function(require, exports, module){
    var foo = require('foo'),
        bar = require('foo/bar');

    exports.doSomething = function(){
        console.log(foo + bar);
    };
});
```

A module is only treated as a CJS module if it doesn't contain a dependency array and the definition function contains at least one parameter.

More information:
- http://requirejs.org/docs/api.html#cjsmodule
- https://github.com/jrburke/requirejs/wiki/Differences-between-the-simplified-CommonJS-wrapper-and-standard-AMD-define
",stasm,265818,2013-06-12T10:16:04Z,CONTRIBUTOR,False,12,1,1,CommonJS/RequireJS build tool,JavaScript,a0cdb595ec17fe1938ac5d338a602414d0de396c,"Support Simplified CommonJS Wrappers

Add explicit support for CJS Wrappers which look like the following:

    define(function(require, exports, module){
        var foo = require('foo'),
            bar = require('foo/bar');

        exports.doSomething = function(){
            console.log(foo + bar);
        };
    });

A module is only treated as a CJS module if it doesn't contain a dependency
array and the definition function contain at least one parameter.

More information:

    http://requirejs.org/docs/api.html#cjsmodule
    https://github.com/jrburke/requirejs/wiki/Differences-between-the-simplified-CommonJS-wrapper-and-standard-AMD-define"
1,https://api.github.com/repos/mozilla/dryice/pulls/31,31,lower the NodeJS version requirement,"Is there a specific reason for the strict dependency on NodeJS >= 0.8.0?

We are in the process of migrating to 0.8, but are still running on 0.6 at the moment. Since this is a helper library, it might be good to support a wider range of environments.

Thanks!
",mikedeboer,141571,2012-11-21T19:04:46Z,CONTRIBUTOR,True,5,1,2,CommonJS/RequireJS build tool,JavaScript,87728b051c6d503a3cae9fd17a26e387092eebc0,lower the NodeJS version requirement
2,https://api.github.com/repos/mozilla/dryice/pulls/31,31,lower the NodeJS version requirement,"Is there a specific reason for the strict dependency on NodeJS >= 0.8.0?

We are in the process of migrating to 0.8, but are still running on 0.6 at the moment. Since this is a helper library, it might be good to support a wider range of environments.

Thanks!
",mikedeboer,141571,2012-11-21T19:04:46Z,CONTRIBUTOR,True,5,1,2,CommonJS/RequireJS build tool,JavaScript,f536bc6d9aa6d6546668de2de409d52606bd6cda,ensure backward compatibility with older node versions
3,https://api.github.com/repos/mozilla/dryice/pulls/30,30,"UglifyJS moved to version 2, which is NOT backward compatible.","Additionally, it depends on a package called `source-map`, which only supports NodeJS >= 0.8, which is breaking our setup at Cloud9 :unamused: 

I hope you are able to take a look at this quickly and publish a new version of dryice as soon as possible!

Thanks!
",mikedeboer,141571,2012-11-21T17:21:12Z,CONTRIBUTOR,True,1,1,1,CommonJS/RequireJS build tool,JavaScript,e9fe460a349c28273910803dda2cc8dbd153b818,fixed version of uglify-js to NOT use uglify-js2
4,https://api.github.com/repos/mozilla/dryice/pulls/29,29,Pinned uglifyJS to 1.3.4,"UglifyJS 2.2.0 is breaking everything. This fix pins it down to version 1.3.4
",timgl,1727427,2012-11-21T15:26:22Z,NONE,False,1,1,1,CommonJS/RequireJS build tool,JavaScript,a2af6a394cee8dec460c3eebebf73612b6cad8ac,Pinned uglifyJS to 1.3.4
5,https://api.github.com/repos/mozilla/dryice/pulls/28,28,Fix typos in code sample of the README on calling uglifyjs filter,,tonistiigi,585223,2012-09-11T08:29:38Z,CONTRIBUTOR,True,2,2,1,CommonJS/RequireJS build tool,JavaScript,d6707649a93308b5da1669b749977e3110eff943,Fix typos in code sample of the README on calling uglifyjs filter
6,https://api.github.com/repos/mozilla/dryice/pulls/26,26,Hi! I fixed some code for you!,"Hi!

I am migrationBot!

Did you know that `path.{exists,existsSync}` was moved to `fs.{exists,existsSync}`,  and that `tty.setRawMode(mode)` was moved to `tty.ReadStream#setRawMode()` (i.e. `process.stdin.setRawMode()`)  in node v0.8.0? Read more @[API changes between v0.6 and v0.8](https://github.com/joyent/node/wiki/API-changes-between-v0.6-and-v0.8) 

I automatically made some changes I think will help you migrate your codebase to node v0.8.0, please review these changes and merge them if you feel they are useful, If they are not you can ignore this Pull Request.

Have a Nice Day!

--[migrationBot](https://github.com/blakmatrix/node-migrator-bot)
",node-migrator-bot,1855799,2012-07-07T05:09:57Z,NONE,False,6,6,1,CommonJS/RequireJS build tool,JavaScript,6f12712e4d4a446da50177a5a1ef7366e7700b89,[fix] fs.existsSync was moved to fs.existsSync
7,https://api.github.com/repos/mozilla/dryice/pulls/25,25,allow the second argument of define() to hold the array of requirements,"As discussed on IRC, here is the pull request. This code works for me with Orion's codebase. Please let me know if further changes are needed. Thanks!
",mihaisucan,107945,2012-05-25T09:48:46Z,CONTRIBUTOR,True,13,5,1,CommonJS/RequireJS build tool,JavaScript,a0f456423463a77923e4cd036e2172e78ef5d93f,add support for specifying dependencies in the second argument of module define() calls within findRequires() - used by CommonJS projects
8,https://api.github.com/repos/mozilla/dryice/pulls/24,24,add support for windows path separator,,nightwing,341801,2012-04-23T17:11:49Z,CONTRIBUTOR,True,2,2,1,CommonJS/RequireJS build tool,JavaScript,57f89596d94e567988b086bd071f4efa478e9ee2,add support for windows path separator
9,https://api.github.com/repos/mozilla/dryice/pulls/20,20,make text module regexp configurable,"e.g. ace and dojo use custom text modules
",fjakobs,40952,2011-11-09T10:28:55Z,CONTRIBUTOR,True,31,20,2,CommonJS/RequireJS build tool,JavaScript,a2ce7c305b06a8444a33e8f78280c3fe8eca3463,"make text module regexp configurable since e.g.
ace and dojo use custom text modules"
